resp1	group1	resp2	group2	resp3	group3	resp4	group4	resp5	group5
3.336185421	treat	8.829688607	treat	6.36000238	treat	8.826095015	treat	9.347354826	treat
4.001369145	treat	8.278568002	treat	2.096033741	treat	8.31384809	treat	5.299133441	treat
5.253210763	treat	0.597507472	treat	3.225555456	treat	5.737816409	treat	4.859724473	treat
0.351624616	treat	5.705089613	treat	2.264774344	treat	7.167691808	treat	1.676926107	treat
6.062033455	treat	8.138542065	treat	8.446611913	treat	1.075163662	treat	7.973271313	treat
6.444991484	treat	6.768093599	treat	7.828684099	treat	6.550405755	treat	3.222386095	treat
1.130812232	treat	3.39768399	treat	9.338293861	treat	8.208984148	treat	7.064409051	treat
8.22276474	treat	3.875866209	treat	5.0669323	treat	4.602934774	treat	3.662308311	treat
4.521553669	treat	7.319628666	treat	5.667306557	treat	4.11323712	treat	1.446229194	treat
4.991426388	treat	0.130316775	treat	3.592386017	treat	3.240363647	treat	1.311840361	treat
4.138816745	treat	8.180564234	treat	4.10781682	treat	5.66258934	treat	5.795610053	treat
4.992356533	treat	3.337519155	treat	5.582490608	treat	5.783338363	treat	5.28863831	treat
2.766969323	treat	4.938457222	treat	5.326861447	treat	5.361713334	treat	6.232115699	treat
7.461815673	treat	7.415948216	treat	3.337619509	treat	3.929820918	treat	2.180775591	treat
9.811327766	treat	1.404583461	treat	3.474803169	treat	2.761967829	treat	7.479709965	treat
6.02918871	control	4.965132532	control	3.637368326	control	10.04758989	control	6.279856424	control
3.438087854	control	3.55363082	control	2.467022377	control	8.802204986	control	2.858229194	control
5.644822586	control	8.118363263	control	6.56969856	control	3.979057016	control	2.182965714	control
4.600329161	control	6.266335851	control	9.088041026	control	7.42169003	control	5.519436907	control
11.73369074	control	3.553770717	control	7.32269492	control	5.179066378	control	4.597280034	control
4.15018557	control	4.878954053	control	10.31206044	control	7.780768945	control	2.428387729	control
4.014436425	control	7.050654697	control	1.973357228	control	3.507989504	control	3.711128642	control
9.184886782	control	7.68337775	control	4.756096396	control	7.362181429	control	7.54503223	control
7.972797978	control	6.07335093	control	9.124554569	control	3.713841271	control	3.826570723	control
3.372085832	control	6.881201208	control	6.971364558	control	6.75404407	control	8.640976694	control
6.57526263	control	6.777106505	control	5.661720601	control	5.115466171	control	7.636934138	control
7.771898633	control	7.895035038	control	10.99250852	control	5.258724409	control	6.959985894	control
6.951406252	control	8.124027707	control	10.30447083	control	6.708107474	control	3.047603566	control
8.267266465	control	5.486987479	control	6.735035771	control	3.341212304	control	8.787977746	control
10.24364856	control	5.323385951	control	3.78356098	control	6.729205802	control	10.04825356	control
